layers,branching factor,average error,average error %,max error,max error %,size binary search,size linear search,namespace,binary,inference,pred_time_lin,pred_time_bin,pred_time,star,front
"loglinear,linear",2048,1244590.125,3.164758,6329516,3.164758,278656,262272,nm0a7ea8570c2a81b459a9,True,33.50003,3010.006947,385.613011,385.613011,False,False
"cubic,linear",524288,11032.490234375,0.204797,409594,0.204797,71303424,67109120,nm0ef962d126b549515ff0,True,47.42098,3023.9278969999996,338.59623899999997,338.59623899999997,False,False
"normal,cubic",128,3181976.0,3.5571539999999997,7114308,3.5571539999999997,33984,32960,nm13f43e219581111bacfd,True,36.3456,3012.852517,389.92791,389.92791,False,False
"cubic,linear",128,2097152.0,6.4039895,12807979,6.4039895,17664,16640,nm151150060643cdf6a68c,True,24.80356,3001.3104769999995,388.880764,388.880764,False,True
"bradix,cubic",65536,43393.2109375,0.3267465,653493,0.3267465,17301696,16777408,nm16f4339dccb68634201e,True,29.91197,3006.418887,328.420101,328.420101,False,True
"lognormal,linear",32768,65536.0,0.7467874999999999,1493575,0.7467874999999999,4456640,4194496,nm175b02aeb51ab8dad65d,True,67.15266,3043.659577,382.84873400000004,382.84873400000004,False,False
"linear,linear",8192,131072.0,0.8255245,1651049,0.8255245,1114240,1048704,nm1f0016285466642a15c0,True,30.36667,3006.8735869999996,348.34763499999997,348.34763499999997,False,True
"normal,linear",2048,374047.4375,4.184836499999999,8369673,4.184836499999999,278720,262336,nm22b9ad22c7d450bb5d42,True,35.51827,3012.0251869999997,392.631476,392.631476,False,False
"linear,linear",1024,541114.5625,3.3554145,6710829,3.3554145,139392,131200,nm2fa2da5e43d08b648adf,True,28.7389,3005.2458169999995,380.851881,380.851881,False,False
"histogram,cubic",128,368034.96875,0.723878,1447756,0.723878,67150976,67149952,nm385635776d0b8643c430,True,37.58505,3014.091967,353.28112400000003,353.28112400000003,False,False
"bradix,linear",1024,1248768.75,5.2118554999999995,10423711,5.2118554999999995,139456,131264,nm39f14b96106d20e118b0,True,24.15569,3000.6626069999998,388.558525,388.558525,True,True
"radix,cubic",1024,1048576.0,3.6432675,7286535,3.6432675,270464,262272,nm3a0b572f574c73d96933,True,22.77414,2999.2810569999997,376.35645,376.35645,False,False
"normal,linear",128,3185061.75,3.375293,6750586,3.375293,17600,16576,nm3be9c8b56571746ddc5e,True,33.70867,3010.2155869999997,385.821651,385.821651,False,True
"histogram,linear",128,338925.40625,0.5105045,1021009,0.5105045,67134592,67133568,nm3d122556d39fd8745c84,True,36.47964,3012.9865569999997,342.003148,342.003148,False,False
"cubic,linear",8192,161682.015625,1.255482,2510964,1.255482,1114368,1048832,nm3dfcd5b0ee81140c1161,True,25.77114,3002.2780569999995,356.98338800000005,356.98338800000005,False,False
"loglinear,linear",524288,23412.763671875,0.3641715,728343,0.3641715,71303296,67108992,nm4472dc0b1c511517a8c8,True,41.00219,3017.509107,341.06012,341.06012,False,False
"lognormal,linear",2048,267746.75,2.7409895,5481979,2.7409895,278720,262336,nm49a96fd44cf5c1cbd3a3,True,62.29338,3038.800297,411.715076,411.715076,False,False
"normal,cubic",32768,50360.515625,0.2494315,498863,0.2494315,8650944,8388800,nm4e6cd6ea7d5e47e9cf43,True,41.96479,3018.4717069999997,334.600737,334.600737,False,False
"normal,cubic",2048,382498.34375,0.8208395,1641679,0.8208395,540864,524480,nm51be3c3a8eb838c64994,True,36.26669,3012.7736069999996,353.436757,353.436757,False,True
"lognormal,cubic",524288,7180.4794921875,0.0689155,137831,0.0689155,138412224,134217920,nm58a347778594705b4cc4,True,91.08593,3067.592847,355.48474000000004,355.48474000000004,False,False
