layers,branching factor,average error,average error %,max error,max error %,size binary search,size linear search,namespace,binary,measured,front
"bradix,linear",131072,27853.1953125,0.235951,471902,0.235951,17825984,16777408,nm088bc8340b26dcdd74ba,True,498.047,True
"radix,linear",2048,1248768.75,5.2118554999999995,10423711,5.2118554999999995,278656,262272,nm0c59c585281c9af9bce7,True,894.332,False
"cubic,linear",128,2097152.0,6.4039895,12807979,6.4039895,17664,16640,nm151150060643cdf6a68c,True,1027.44,True
"bradix,cubic",65536,43393.2109375,0.3267465,653493,0.3267465,17301696,16777408,nm16f4339dccb68634201e,True,578.166,False
"linear,linear",8192,131072.0,0.8255245,1651049,0.8255245,1114240,1048704,nm1f0016285466642a15c0,True,681.002,True
"radix,linear",16384,242531.0,0.640173,1280346,0.640173,2228352,2097280,nm30583483c9fabb1d1b35,True,691.901,False
"bradix,cubic",2097152,3760.1494140625,0.0282295,56459,0.0282295,553648320,536871104,nm309f97453b4addf283cc,True,391.372,False
"bradix,linear",1024,1248768.75,5.2118554999999995,10423711,5.2118554999999995,139456,131264,nm39f14b96106d20e118b0,True,897.219,False
"normal,linear",128,3185061.75,3.375293,6750586,3.375293,17600,16576,nm3be9c8b56571746ddc5e,True,1062.06,False
"bradix,linear",16384,113132.9609375,1.2340419999999999,2468084,1.2340419999999999,2228416,2097344,nm421d482f384d3120ad4a,True,655.099,True
"bradix,linear",4096,267710.28125,2.3015545,4603109,2.3015545,557248,524480,nm4300f5acccf11fc18cb3,True,771.028,True
"radix,linear",256,6668574.0,10.7197105,21439421,10.7197105,34944,32896,nm4ffbe607ff92b105ae59,True,1070.8,False
"bradix,cubic",131072,22327.494140625,0.1717365,343473,0.1717365,34603200,33554624,nm509591dbc21fb8c5d0c5,True,528.02,False
"normal,cubic",2048,382498.34375,0.8208395,1641679,0.8208395,540864,524480,nm51be3c3a8eb838c64994,True,864.055,False
"normal,cubic",8192,146967.25,0.42352149999999994,847043,0.42352149999999994,2162880,2097344,nm58ac5c58372de4d3998a,True,757.495,False
"cubic,cubic",262144,18345.96484375,0.0754845,150969,0.0754845,69206272,67109120,nm598fe285155688ff3e74,True,469.178,False
