layers,branching factor,size,average error,max error,binary,front,measured
"bradix,linear",2097152,285212864,3642.853515625,221515,True,True,344.845
"bradix,linear",3145728,427819200,3642.853515625,221515,True,False,352.295
"radix,linear",2097152,285212800,6698.896484375,474690,True,True,377.835
"bradix,linear",1048576,142606528,6698.896484375,474690,True,False,381.43
"bradix,linear",1048576,142606528,6698.896484375,474690,True,False,381.43
"bradix,linear",1572864,213909696,6698.896484375,474690,True,False,385.464
"radix,linear",3145728,427819136,6698.896484375,474690,True,False,389.003
"bradix,cubic",2097152,553648320,3760.1494140625,56459,True,False,391.372
"radix,linear",1048576,142606464,8192.0,208211,True,False,410.886
"radix,linear",1048576,142606464,8192.0,208211,True,False,410.886
"bradix,linear",524288,71303360,8192.0,208211,True,False,413.182
"bradix,linear",524288,71303360,8192.0,208211,True,False,413.182
"bradix,linear",786432,106954944,8192.0,208211,True,False,418.152
"radix,linear",1572864,213909632,8192.0,208211,True,False,422.422
"bradix,cubic",524288,138412224,8597.1376953125,82184,True,False,445.347
"radix,cubic",1048576,276824192,8597.1376953125,82184,True,False,445.75
"bradix,linear",262144,35651776,17674.291015625,742930,True,False,457.612
"bradix,linear",262144,35651776,17674.291015625,742930,True,False,457.612
"bradix,linear",393216,53477568,17674.291015625,742930,True,False,459.654
"radix,linear",524288,71303296,17674.291015625,742930,True,False,460.819
"radix,linear",524288,71303296,17674.291015625,742930,True,False,460.819
"cubic,cubic",262144,69206272,18345.96484375,150969,True,False,469.178
"radix,linear",262144,35651712,27853.1953125,471902,True,True,491.061
"bradix,linear",196608,26738880,27853.1953125,471902,True,True,492.643
"bradix,linear",131072,17825984,27853.1953125,471902,True,False,498.047
"bradix,linear",131072,17825984,27853.1953125,471902,True,False,498.047
"radix,linear",393216,53477504,27853.1953125,471902,True,False,501.424
"normal,linear",131072,17825984,23810.798828125,432841,True,False,503.338
"cubic,cubic",131072,34603264,23514.08203125,247034,True,False,504.909
"radix,cubic",262144,69206144,22327.494140625,343473,True,False,519.004
"bradix,cubic",131072,34603200,22327.494140625,343473,True,False,528.02
"radix,linear",131072,17825920,49939.53515625,1978150,True,False,540.68
"radix,linear",131072,17825920,49939.53515625,1978150,True,False,540.68
"normal,cubic",131072,34603200,22498.76171875,222196,True,False,543.742
"bradix,linear",65536,8913088,49939.53515625,1978150,True,False,547.742
"bradix,linear",65536,8913088,49939.53515625,1978150,True,False,547.742
"cubic,cubic",65536,17301760,38871.64453125,424147,True,False,549.692
"bradix,linear",98304,13369536,49939.53515625,1978150,True,False,550.284
"radix,linear",196608,26738816,49939.53515625,1978150,True,False,551.312
"bradix,cubic",65536,17301696,43393.2109375,653493,True,False,578.166
"loglinear,cubic",131072,34603136,38890.4609375,289860,True,False,580.139
"radix,linear",65536,8913024,55305.2109375,987001,True,False,588.836
"radix,linear",65536,8913024,55305.2109375,987001,True,False,588.836
"bradix,linear",49152,6684864,55305.2109375,987001,True,True,590.754
"bradix,linear",32768,4456640,55305.2109375,987001,True,False,594.295
"bradix,linear",32768,4456640,55305.2109375,987001,True,False,594.295
"cubic,linear",24576,3342592,106342.34375,1206230,True,True,597.399
"radix,linear",98304,13369472,55305.2109375,987001,True,False,597.843
"normal,cubic",65536,17301696,33400.2890625,266449,True,False,602.136
"radix,cubic",65536,17301632,64985.45703125,680296,True,False,612.199
"cubic,linear",16384,2228480,100221.421875,1011534,True,True,617.132
"bradix,cubic",32768,8650944,64985.45703125,680296,True,False,631.618
"loglinear,cubic",65536,17301632,70022.734375,446207,True,False,637.485
"radix,linear",32768,4456576,113132.9609375,2468084,True,False,645.576
"radix,linear",32768,4456576,113132.9609375,2468084,True,False,645.576
"bradix,linear",24576,3342528,113132.9609375,2468084,True,False,650.173
"bradix,linear",16384,2228416,113132.9609375,2468084,True,False,655.099
"bradix,linear",16384,2228416,113132.9609375,2468084,True,False,655.099
"linear,linear",12288,1671296,114763.0234375,1501239,True,True,675.167
"loglinear,cubic",32768,8650880,89368.1484375,490975,True,False,675.751
"linear,linear",8192,1114240,131072.0,1651049,True,True,681.002
"cubic,linear",8192,1114368,161682.015625,2510964,True,False,686.198
"radix,linear",16384,2228352,242531.0,1280346,True,False,691.901
"bradix,linear",8192,1114304,242531.0,1280346,True,False,698.657
"bradix,linear",8192,1114304,242531.0,1280346,True,False,698.657
"normal,linear",8192,1114304,163349.09375,950969,True,False,711.446
"linear,linear",4096,557184,230692.359375,4022523,True,True,744.339
"normal,cubic",8192,2162880,146967.25,847043,True,False,757.495
"radix,linear",8192,1114240,267710.28125,4603109,True,False,766.154
"bradix,linear",4096,557248,267710.28125,4603109,True,False,771.028
"bradix,linear",6144,835776,267710.28125,4603109,True,False,780.26
"radix,linear",4096,557184,524288.0,3366062,True,False,820.019
"bradix,linear",2048,278720,524288.0,3366062,True,False,824.79
"bradix,linear",2048,278720,524288.0,3366062,True,False,824.79
"cubic,linear",1536,209152,619822.4375,2897654,True,True,825.501
"radix,linear",6144,835712,524288.0,3366062,True,False,829.766
"bradix,linear",3072,417984,524288.0,3366062,True,False,830.506
"radix,cubic",4096,1081472,524288.0,2569931,True,False,836.105
"cubic,linear",1024,139520,1048576.0,3361348,True,True,853.902
"bradix,cubic",2048,540864,524288.0,2569931,True,False,854.067
"normal,cubic",2048,540864,382498.34375,1641679,True,False,864.055
